id,username,day,time,course,venue,academicyear,division,is_rescheduled
468,vibhapatel,Monday,09:30 - 10:30,Electromagnetics and Radiating Systems (ERS),KS-406,TY,ECE-SECB,f
469,manishakumawat,Monday,09:30 - 10:30,Artificial Neural Network (ANN),KS-407,TY,ECE-SECB,f
470,savitrijadhav,Monday,09:30 - 10:30,Embedded System & RTOS,JN-106,TY,ECE-SECB,f
471,paruljadhav,Monday,10:45 - 12:45,Digital Signal Processing (DSP)-G1,VK-207,TY,ECE-SECB,f
472,sunilsomani,Monday,10:45 - 12:45,Digital Communication (DC)-G2,VK-306,TY,ECE-SECB,f
473,vinodkumarjadhav,Monday,10:45 - 12:45,Simulation Lab (SL)-G3,JN-110A,TY,ECE-SECB,f
474,paruljadhav,Monday,13:30 - 14:30,Digital Signal Processing (DSP),KS-406,TY,ECE-SECB,f
475,sunilsomani,Monday,14:30 - 15:30,Digital Communication (DC),KS-406,TY,ECE-SECB,f
476,amolsajjan,Monday,15:30 - 16:30,Employment Skill Development (ESD),KS-407,TY,ECE-SECB,f
477,rupalikute,Tuesday,08:30 - 10:30,Project Based Learning (PBL)-G2,KS-403,TY,ECE-SECB,f
478,ujjawalarawandale,Tuesday,10:45 - 12:45,Simulation Lab (SL)-G1,JN-110A,TY,ECE-SECB,f
479,rakhikhedkar,Tuesday,10:45 - 12:45,Project Based Learning (PBL)-G3,KS-403,TY,ECE-SECB,f
480,manishakumawat,Tuesday,10:45 - 11:45,Artificial Neural Network (ANN)-g1,VK-411C,TY,ECE-SECB,f
481,vibhapatel,Tuesday,10:45 - 11:45,Electromagnetics and Radiating Systems (ERS)-g1,VK-305,TY,ECE-SECB,f
482,savitrijadhav,Wednesday,08:30 - 10:30,Embedded System & RTOS-G3,VK-411B,TY,ECE-SECB,f
483,sunitakulkarni,Wednesday,10:45 - 12:45,Digital Signal Processing (DSP)-G2,VK-207,TY,ECE-SECB,f
484,sunilsomani,Wednesday,10:45 - 12:45,Digital Communication-G3,VK-306,TY,ECE-SECB,f
485,rakhikhedkar,Wednesday,10:45 - 12:45,Project Based Learning (PBL)-G1,KS-403,TY,ECE-SECB,f
486,sunilsomani,Wednesday,13:30 - 14:30,Digital Communication(DC),KS-406,TY,ECE-SECB,f
487,paruljadhav,Wednesday,14:30 - 15:30,Digital Signal Processing (DSP),KS-406,TY,ECE-SECB,f
488,amolsajjan,Wednesday,15:30 - 16:30,Employment Skill Development (ESD),KS-407,TY,ECE-SECB,f
489,rupalikute,Thursday,08:30 - 10:30,Digital Signal Processing (DSP)-G3,VK-305,TY,ECE-SECB,f
490,sunilsomani,Thursday,08:30 - 10:30,Digital Communication-G1,VK-306,TY,ECE-SECB,f
491,ujjawalarawandale,Thursday,08:30 - 10:30,Simulation Lab (SL)-G2,JN-110A,TY,ECE-SECB,f
492,paruljadhav,Thursday,10:45 - 11:45,Digital Signal Processing (DSP),KS-407,TY,ECE-SECB,f
