id,username,day,time,course,venue,academicyear,division,is_rescheduled
348,priyamvadamahajani,Friday,13:30 - 15:30,Optimization Techniques-G3,JN-306B,TY,ECEAIML-SECB,f
349,arunmali,Friday,13:30 - 15:30,Project Based Learning - III - G1,JN-306A,TY,ECEAIML-SECB,f
350,prajaktapardeshi,Friday,15:30 - 17:30,Database Mangement System-G3,JN-110B,TY,ECEAIML-SECB,f
351,sumitramotade,Monday,08:30 - 10:30,Artificial Intelligence & ML-G1,VK-411C,TY,ECEAIML-SECC,f
352,priyamvadamahajani,Monday,08:30 - 10:30,Optimization Techniques-G2,JN-306B,TY,ECEAIML-SECC,f
353,alkabarhatte,Monday,08:30 - 10:30,Database Mangement System-G3,JN-110B,TY,ECEAIML-SECC,f
354,sumitramotade,Monday,10:45 - 11:45,Artificial Intelligence & ML,JN-106,TY,ECEAIML-SECC,f
355,vanitatank,Monday,11:45 - 12:45,Optimization Technique,JN-106,TY,ECEAIML-SECC,f
356,anujaaskhedkar,Monday,13:30 - 15:30,VLSI Design-G1,VK-411A,TY,ECEAIML-SECC,f
357,poojagundewar,Monday,13:30 - 15:30,Mechatronics-G1,VK-206A,TY,ECEAIML-SECC,f
358,vinodkumarjadhav,Monday,13:30 - 15:30,Digital Communication-G1,VK-306,TY,ECEAIML-SECC,f
359,amolsajjan,Monday,15:30 - 16:30,Employment Skill Development,JN-107,TY,ECEAIML-SECC,f
360,sunitakulkarni,Tuesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECC,f
361,anujaaskhedkar,Tuesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECC,f
362,poojagundewar,Tuesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECC,f
363,vinodkumarjadhav,Tuesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECC,f
364,sumitramotade,Tuesday,10:45 - 11:45,Artificial Intelligence & ML,JN-107,TY,ECEAIML-SECC,f
365,priyamvadamahajani,Tuesday,11:45 - 12:45,Optimization Techniques,JN-107,TY,ECEAIML-SECC,f
366,anujaaskhedkar,Tuesday,13:30 - 15:30,VLSI Design-G2,VK-411A,TY,ECEAIML-SECC,f
367,poojagundewar,Tuesday,13:30 - 15:30,Mechatronics-G2,VK-206A,TY,ECEAIML-SECC,f
368,vinodkumarjadhav,Tuesday,13:30 - 15:30,Digital Communication-G2,VK-306,TY,ECEAIML-SECC,f
369,sunitakulkarni,Tuesday,13:30 - 15:30,Digital Signal Processing - G2,VK-207A,TY,ECEAIML-SECC,f
370,dhanshreeghate,Wednesday,08:30 - 09:30,Managing Conflicts Peacefully,JN-107,TY,ECEAIML-SECC,f
371,sunitakulkarni,Wednesday,09:30 - 10:30,Digital Signal Processing,KS-406,TY,ECEAIML-SECC,f
372,anujaaskhedkar,Wednesday,09:30 - 10:30,VLSI Design,JN-106,TY,ECEAIML-SECC,f
373,poojagundewar,Wednesday,09:30 - 10:30,Mechatronics,JN-107,TY,ECEAIML-SECC,f
374,vinodkumarjadhav,Wednesday,09:30 - 10:30,Digital Communication,KS-407,TY,ECEAIML-SECC,f
375,alkabarhatte,Wednesday,10:45 - 12:45,Artificial Intelligence & ML-G3,VK-411C,TY,ECEAIML-SECC,f
376,priyamvadamahajani,Wednesday,10:45 - 12:45,Optimization Techniques-G1,JN-306B,TY,ECEAIML-SECC,f
377,vaidehideshmukh,Wednesday,10:45 - 12:45,Database Mangement System-G2,JN-306A,TY,ECEAIML-SECC,f
